"species","ring_nuber"
"Great tit","NF33888"
"Great tit","NF33889"
"Great tit","NF33891"
"Great tit","NF33893"
"Great tit","NF33899"
"Great tit","NF33906"
"Great tit","NF84551"
"Great tit","NF84623"
"Great tit","NF84691"
"Great tit","NF84692"
"Great tit","NF84694"
"Great tit","NF84700"
"Great tit","NF84784"
"Great tit","NF84811"
"Great tit","NF84930"
"Great tit","NF84962"
"Great tit","NF84963"
"Great tit","NY89096"
"Great tit","NY89414"
"Great tit","NY89441"
"Great tit","NZ15493"
"Great tit","PF28201"
"Great tit","PF28202"
"Great tit","PF28203"
"Great tit","PF28210"
"Great tit","PF28211"
"Great tit","PF28214"
"Great tit","PF28218"
"Great tit","PF28236"
"Great tit","PF28341"
"Great tit","TX11680"
"Great tit","TX11692"
"Great tit","TX11693"
"Great tit","TY2708"
"Great tit","TY61648"
"Great tit","TY61650"
"Great tit","TY61651"
"Great tit","TY61659"
"Great tit","TY62123"
"Great tit","TY62414"
"Great tit","TY62702"
"Great tit","TY62703"
"Great tit","TY62710"
"Great tit","TY62716"
"Robin","ACJ2009"
"Robin","ACJ2031"
"Robin","ACJ2035"
"Robin","ACJ2036"
"Robin","ACJ2042"
"Robin","ACJ2044"
"Robin","ACJ2048"
"Robin","ACJ2302"
"Robin","ACJ2550"
"Robin","ACJ2553"
"Robin","ACJ2558"
"Robin","ACJ2568"
"Robin","ACJ2569"
"Robin","ACJ2570"
"Robin","ACJ2571"
"Robin","ACJ2572"
"Robin","ACJ2577"
"Robin","ACJ2756"
"Robin","ACJ2774"
"Robin","ACJ2783"
"Robin","ACJ3394"
"Robin","AFE1852"
"Robin","AFE1853"
"Robin","AFE1859"
"Robin","AFE1860"
"Robin","AFE1868"
"Robin","AFE1877"
"Robin","AFE1882"
"Robin","AFE1883"
"Robin","AFE1890"
"Robin","AFE1896"
"Robin","AFE3183"
"Robin","AFE3184"
"Robin","AFE5058"
"Robin","AFE5059"
"Robin","AFE5060"
"Robin","AFE5083"
"Robin","AFE5175"
"Robin","AFE5193"
"Robin","AFE5195"
"Robin","AFE5196"
"Robin","AKP8502"
"Robin","AKP8503"
"Robin","AKP8504"
"Robin","AKP8505"
"Robin","AKP8515"
"Robin","AKP8530"
"Robin","AKP8542"
"Robin","AKP8547"
"Robin","AKP8548"
"Robin","AKP8554"
"Robin","AKP8565"
"Robin","AKP8573"
"Robin","AKP8576"
"Robin","AKP8578"
"Robin","AKP8588"
"Robin","AKP8704"
"Robin","AKP8705"
"Robin","AKP8707"
"Robin","AKP8715"
"Robin","AKP8717"
"Robin","AKP8718"
"Robin","APL4848"
"Robin","APL4857"
"Robin","APL4859"
"Robin","APL4867"
"Robin","APL4891"
"Robin","APL4893"
"Robin","APL4897"
"Robin","APP0371"
"Robin","APP0372"
"Robin","APP0375"
"Robin","APP0378"
"Robin","APP0380"
"Robin","APP0390"
"Robin","APP0396"
"Robin","APP0397"
"Robin","APP0901"
"Robin","APP0907"
"Robin","AXB1588"
"Robin","S034184"
"Robin","S034190"
"Robin","S935242"
"Robin","S935255"
"Robin","S935275"
"Robin","S935283"
"Robin","S935289"
"Robin","S935300"
